Source,Time,Line
May 16–21,May 16 10:41:41,"May 16 10:41:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:42:11,"May 16 10:42:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:42:41,"May 16 10:42:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:43:11,"May 16 10:43:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:43:41,"May 16 10:43:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:44:11,"May 16 10:44:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:44:41,"May 16 10:44:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:45:11,"May 16 10:45:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:45:41,"May 16 10:45:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:45:43,May 16 10:45:43 Antminer local0.notice cgminer[1403]: Stratum from pool 0 requested work restart
May 16–21,May 16 10:45:59,May 16 10:45:59 Antminer local0.notice cgminer[1403]: Pool 0 difficulty changed to 262144
May 16–21,May 16 10:46:11,"May 16 10:46:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:46:41,"May 16 10:46:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:47:11,"May 16 10:47:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:47:41,"May 16 10:47:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:48:11,"May 16 10:48:11 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:48:41,"May 16 10:48:41 Antminer local0.warn cgminer[1403]: No Stratum, GBT or Solo support in pool 2  unable to use"
May 16–21,May 16 10:49:11,May 16 10:49:11 Antminer local0.notice cgminer[1403]: Pool 0 extranonce change requested
